date,method,confidence,var_usd,es_usd,actual_loss_usd,excess_over_var_usd
2025-03-04,Historical,0.95,15782228.831237575,24200225.69055216,16005980.663414175,223751.83217659965
2025-03-04,Monte Carlo (Student-t),0.95,15018194.946586352,22761115.474886276,16005980.663414175,987785.7168278228
2025-03-10,Historical,0.95,15927761.047458487,24202328.36840043,22080521.510575067,6152760.463116581
2025-03-10,Historical,0.97,20377722.258402407,28493963.08664027,22080521.510575067,1702799.25217266
2025-03-10,Monte Carlo (Student-t),0.95,15031732.1119032,21771271.174487244,22080521.510575067,7048789.398671867
2025-03-10,Monte Carlo (Student-t),0.97,18373860.962730214,25257906.63367322,22080521.510575067,3706660.5478448533
2025-03-10,Parametric (Normal),0.95,16315436.955576804,20684736.281181417,22080521.510575067,5765084.554998264
2025-03-10,Parametric (Normal),0.97,18782517.8495942,22831979.764669754,22080521.510575067,3298003.660980869
2025-03-28,Historical,0.95,15698591.687925788,23851786.893219158,15890315.474260459,191723.78633467108
2025-03-28,Monte Carlo (Student-t),0.95,15289155.122522783,22070962.187406838,15890315.474260459,601160.3517376762
2025-04-03,Historical,0.95,15698591.687925788,23625914.364650536,42037918.933656484,26339327.245730698
2025-04-03,Historical,0.97,20045443.840497248,27607512.947351623,42037918.933656484,21992475.093159236
2025-04-03,Historical,0.99,29811571.336541776,35560366.979195945,42037918.933656484,12226347.597114708
2025-04-03,Monte Carlo (Student-t),0.95,15167724.492950784,22878685.559945054,42037918.933656484,26870194.4407057
2025-04-03,Monte Carlo (Student-t),0.97,18215584.34621916,27088686.36505121,42037918.933656484,23822334.587437324
2025-04-03,Monte Carlo (Student-t),0.99,26301867.638940092,38543638.06170984,42037918.933656484,15736051.294716392
2025-04-03,Parametric (Normal),0.95,15988782.685732527,20269474.983415227,42037918.933656484,26049136.247923955
2025-04-03,Parametric (Normal),0.97,18405832.513125397,22373173.53003424,42037918.933656484,23632086.420531087
2025-04-03,Parametric (Normal),0.99,22970242.732988548,26441705.43159809,42037918.933656484,19067676.200667936
2025-04-04,Historical,0.95,15751100.229376338,24050397.385717332,63525634.34069669,47774534.111320354
2025-04-04,Historical,0.97,20175135.87849436,28185605.18906303,63525634.34069669,43350498.46220233
2025-04-04,Historical,0.99,30061099.951965492,36500801.38762999,63525634.34069669,33464534.3887312
2025-04-04,Monte Carlo (Student-t),0.95,14822632.467370836,22310270.50675602,63525634.34069669,48703001.873325855
2025-04-04,Monte Carlo (Student-t),0.97,18155176.87530531,26321991.06560971,63525634.34069669,45370457.46539138
2025-04-04,Monte Carlo (Student-t),0.99,25687259.275510337,36414312.25982476,63525634.34069669,37838375.06518635
2025-04-04,Parametric (Normal),0.95,16135712.562004821,20444920.77074989,63525634.34069669,47389921.77869187
2025-04-04,Parametric (Normal),0.97,18568863.61161087,22562633.144218806,63525634.34069669,44956770.72908582
2025-04-04,Parametric (Normal),0.99,23163679.734732304,26658267.646434933,63525634.34069669,40361954.60596439
2025-04-10,Historical,0.95,15879289.846181158,24818946.090618547,33877419.11796984,17998129.271788683
2025-04-10,Historical,0.97,20366027.192882467,29326168.141432494,33877419.11796984,13511391.925087374
2025-04-10,Historical,0.99,30245005.775858253,39064229.73026526,33877419.11796984,3632413.3421115875
2025-04-10,Monte Carlo (Student-t),0.95,15339700.687669555,23606527.055137973,33877419.11796984,18537718.430300288
2025-04-10,Monte Carlo (Student-t),0.97,18570815.494099274,28070075.7081826,33877419.11796984,15306603.623870566
2025-04-10,Monte Carlo (Student-t),0.99,27343002.279203825,40259172.790342435,33877419.11796984,6534416.838766016
2025-04-10,Parametric (Normal),0.95,16853348.346095707,21338585.829147957,33877419.11796984,17024070.771874133
2025-04-10,Parametric (Normal),0.97,19385892.553979125,23542805.828666728,33877419.11796984,14491526.563990716
2025-04-10,Parametric (Normal),0.99,24168404.9100388,27805745.21250577,33877419.11796984,9709014.207931042
2025-04-16,Historical,0.95,15766664.530306958,24985039.688200098,17564593.891431674,1797929.3611247167
2025-04-16,Monte Carlo (Student-t),0.95,15234200.063126115,23765993.01522795,17564593.891431674,2330393.8283055592
2025-04-16,Parametric (Normal),0.95,16875579.27780708,21369651.97372577,17564593.891431674,689014.6136245951
2025-04-21,Historical,0.95,15880759.929925062,25012281.28908091,21731928.905937012,5851168.9760119505
2025-04-21,Historical,0.97,20376126.684613448,29921323.934686437,21731928.905937012,1355802.2213235646
2025-04-21,Monte Carlo (Student-t),0.95,15545986.293570176,23787522.393556997,21731928.905937012,6185942.6123668365
2025-04-21,Monte Carlo (Student-t),0.97,18993855.534388643,28293256.979644414,21731928.905937012,2738073.3715483695
2025-04-21,Parametric (Normal),0.95,16845776.064998023,21320560.15180617,21731928.905937012,4886152.840938989
2025-04-21,Parametric (Normal),0.97,19372417.867889337,23519642.946182236,21731928.905937012,2359511.038047675
2025-05-21,Historical,0.95,15880024.88805311,24357765.231367677,18611222.674259074,2731197.786205964
2025-05-21,Monte Carlo (Student-t),0.95,15214085.404499246,23209000.33802937,18611222.674259074,3397137.269759828
2025-05-21,Monte Carlo (Student-t),0.97,18406293.53262667,27551289.770647988,18611222.674259074,204929.14163240418
2025-05-21,Parametric (Normal),0.95,16573908.405164158,20990743.25701719,18611222.674259074,2037314.269094916
2025-10-10,Historical,0.95,15356076.367041497,23270904.582241837,20002672.319271456,4646595.95222996
2025-10-10,Historical,0.97,18521497.383457333,27649844.942049053,20002672.319271456,1481174.9358141236
2025-10-10,Monte Carlo (Student-t),0.95,14295994.153377911,22515290.219511356,20002672.319271456,5706678.165893545
2025-10-10,Monte Carlo (Student-t),0.97,17942510.05674389,26865545.6950343,20002672.319271456,2060162.2625275664
2025-10-10,Parametric (Normal),0.95,15996444.95136188,20252659.594849143,20002672.319271456,4006227.3679095767
2025-10-10,Parametric (Normal),0.97,18399673.71764272,22344328.87097295,20002672.319271456,1602998.6016287357
2025-11-20,Monte Carlo (Student-t),0.95,14227868.887162851,22434370.92067635,14606907.703009974,379038.81584712304
