date,method,t_df,ewma_sigma
2025-01-02,Parametric (t + EWMA),8.3646,0.0082
2025-01-02,Monte Carlo (Student-t),4.3886,
2025-01-03,Parametric (t + EWMA),8.3546,0.0079
2025-01-03,Monte Carlo (Student-t),4.3882,
2025-01-06,Parametric (t + EWMA),8.3851,0.0081
2025-01-06,Monte Carlo (Student-t),4.3874,
2025-01-07,Parametric (t + EWMA),8.3851,0.0078
2025-01-07,Monte Carlo (Student-t),4.3874,
2025-01-08,Parametric (t + EWMA),8.3936,0.0077
2025-01-08,Monte Carlo (Student-t),4.3874,
2025-01-10,Parametric (t + EWMA),8.3823,0.0075
2025-01-10,Monte Carlo (Student-t),4.387,
2025-01-13,Parametric (t + EWMA),8.4658,0.0082
2025-01-13,Monte Carlo (Student-t),4.3886,
2025-01-14,Parametric (t + EWMA),8.4683,0.008
2025-01-14,Monte Carlo (Student-t),4.3886,
2025-01-15,Parametric (t + EWMA),8.4714,0.0079
2025-01-15,Monte Carlo (Student-t),4.3887,
2025-01-16,Parametric (t + EWMA),8.4986,0.0085
2025-01-16,Monte Carlo (Student-t),4.3891,
2025-01-17,Parametric (t + EWMA),8.4902,0.0083
2025-01-17,Monte Carlo (Student-t),4.3888,
2025-01-21,Parametric (t + EWMA),8.519,0.0083
2025-01-21,Monte Carlo (Student-t),4.3894,
2025-01-22,Parametric (t + EWMA),8.5342,0.0086
2025-01-22,Monte Carlo (Student-t),4.3896,
2025-01-23,Parametric (t + EWMA),8.5219,0.0084
2025-01-23,Monte Carlo (Student-t),4.3892,
2025-01-24,Parametric (t + EWMA),8.523,0.0084
2025-01-24,Monte Carlo (Student-t),4.389,
2025-01-27,Parametric (t + EWMA),8.4255,0.0082
2025-01-27,Monte Carlo (Student-t),4.3815,
2025-01-28,Parametric (t + EWMA),8.3713,0.0079
2025-01-28,Monte Carlo (Student-t),4.3759,
2025-01-29,Parametric (t + EWMA),8.3721,0.0077
2025-01-29,Monte Carlo (Student-t),4.3757,
2025-01-30,Parametric (t + EWMA),8.3623,0.0075
2025-01-30,Monte Carlo (Student-t),4.3753,
2025-01-31,Parametric (t + EWMA),8.3625,0.0075
2025-01-31,Monte Carlo (Student-t),4.3751,
2025-02-03,Parametric (t + EWMA),8.3353,0.0073
2025-02-03,Monte Carlo (Student-t),4.37,
2025-02-04,Parametric (t + EWMA),8.3052,0.0071
2025-02-04,Monte Carlo (Student-t),4.3671,
2025-02-05,Parametric (t + EWMA),8.268,0.0069
2025-02-05,Monte Carlo (Student-t),4.3618,
2025-02-06,Parametric (t + EWMA),8.2377,0.0069
2025-02-06,Monte Carlo (Student-t),4.3579,
2025-02-07,Parametric (t + EWMA),8.2239,0.0067
2025-02-07,Monte Carlo (Student-t),4.3568,
2025-02-10,Parametric (t + EWMA),8.2745,0.0067
2025-02-10,Monte Carlo (Student-t),4.3548,
2025-02-11,Parametric (t + EWMA),8.2563,0.0067
2025-02-11,Monte Carlo (Student-t),4.3489,
2025-02-12,Parametric (t + EWMA),8.2105,0.0065
2025-02-12,Monte Carlo (Student-t),4.3426,
2025-02-13,Parametric (t + EWMA),8.2054,0.0064
2025-02-13,Monte Carlo (Student-t),4.361,
2025-02-14,Parametric (t + EWMA),8.1912,0.0065
2025-02-14,Monte Carlo (Student-t),4.3848,
2025-02-18,Parametric (t + EWMA),8.1588,0.0063
2025-02-18,Monte Carlo (Student-t),4.6534,
2025-02-19,Parametric (t + EWMA),8.1432,0.0063
2025-02-19,Monte Carlo (Student-t),4.6581,
2025-02-20,Parametric (t + EWMA),8.146,0.0062
2025-02-20,Monte Carlo (Student-t),4.6554,
2025-02-21,Parametric (t + EWMA),8.1364,0.0061
2025-02-21,Monte Carlo (Student-t),4.6476,
2025-02-24,Parametric (t + EWMA),8.1817,0.0067
2025-02-24,Monte Carlo (Student-t),4.6434,
2025-02-25,Parametric (t + EWMA),8.1514,0.0065
2025-02-25,Monte Carlo (Student-t),5.3393,
2025-02-26,Parametric (t + EWMA),8.1537,0.0063
2025-02-26,Monte Carlo (Student-t),5.3331,
2025-02-27,Parametric (t + EWMA),8.1371,0.0061
2025-02-27,Monte Carlo (Student-t),5.5366,
2025-02-28,Parametric (t + EWMA),8.1676,0.0063
2025-02-28,Monte Carlo (Student-t),5.5293,
2025-03-03,Parametric (t + EWMA),8.2004,0.0072
2025-03-03,Monte Carlo (Student-t),5.5464,
2025-03-04,Parametric (t + EWMA),8.2354,0.0074
2025-03-04,Monte Carlo (Student-t),5.5402,
2025-03-05,Parametric (t + EWMA),8.2817,0.0081
2025-03-05,Monte Carlo (Student-t),5.5473,
2025-03-06,Parametric (t + EWMA),8.2882,0.0082
2025-03-06,Monte Carlo (Student-t),5.5478,
2025-03-07,Parametric (t + EWMA),8.3161,0.0088
2025-03-07,Monte Carlo (Student-t),6.3672,
2025-03-10,Parametric (t + EWMA),8.3363,0.0086
