month,Historical 95%,Historical 97%,Historical 99%,Parametric (Normal) 95%,Parametric (Normal) 97%,Parametric (Normal) 99%,Parametric (t + EWMA) 95%,Parametric (t + EWMA) 97%,Parametric (t + EWMA) 99%,Monte Carlo (Student-t) 95%,Monte Carlo (Student-t) 97%,Monte Carlo (Student-t) 99%
2025-01,0,0,0,0,0,0,1,1,0,0,0,0
2025-02,0,0,0,0,0,0,2,1,0,0,0,0
2025-03,3,1,0,1,1,0,4,3,1,3,1,0
2025-04,5,4,3,5,4,3,2,2,2,5,4,3
2025-05,1,0,0,1,0,0,0,0,0,1,0,0
2025-06,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,0,0,0,0,0,0,1,1,0,0,0,0
2025-08,0,0,0,0,0,0,1,0,0,0,0,0
2025-09,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,1,1,0,1,1,0,2,2,1,1,1,0
2025-11,0,0,0,0,0,0,2,1,0,0,0,0
2025-12,0,0,0,0,0,0,0,0,0,0,0,0
