Method,Confidence,Avg VaR ($),Avg ES ($),"Runtime, all days (s)",Test days,Breaches,Expected breaches,Kupiec p-value,Breach count OK (p>=0.05),Clustering p-value,Basel zone,Avg ES on breach days ($),Avg loss on breach days ($),Actual loss / forecast ES
Historical,95%,15945688.266459,24814998.463664,0.08,250,10,12.5,0.452912,Yes,0.400925,Green,24237558.958405,27132820.783147,1.122108
Historical,97%,20000482.366396,29470247.497171,0.08,250,6,7.5,0.564756,Yes,0.119551,Green,28530736.373537,33876015.854684,1.192729
Historical,99%,30641604.687529,39336332.723314,0.08,250,3,2.5,0.757988,Yes,0.019848,Green,37041799.365697,46480324.130774,1.263257
Monte Carlo (Student-t),95%,16018637.514773,23342541.259485,5.73,250,10,12.5,0.452912,Yes,0.400925,Green,22315388.597764,27132820.783147,1.218567
Monte Carlo (Student-t),97%,19429794.620322,27186462.265947,5.73,250,6,7.5,0.564756,Yes,0.119551,Green,25642772.441452,33876015.854684,1.321115
Monte Carlo (Student-t),99%,27249313.709834,36401511.987263,5.73,250,3,2.5,0.757988,Yes,0.019848,Green,33890441.696871,46480324.130774,1.373788
Parametric (Normal),95%,16940812.356624,21446641.498216,0.15,250,8,12.5,0.16322,Yes,0.239942,Green,20833916.605237,29928988.961725,1.443967
Parametric (Normal),97%,19484983.437279,23660981.038952,0.15,250,6,7.5,0.564756,Yes,0.119551,Green,22862427.347457,33876015.854684,1.48662
Parametric (Normal),99%,24289452.236397,27943491.514065,0.15,250,3,2.5,0.757988,Yes,0.019848,Green,26968572.763513,46480324.130774,1.730385
Parametric (t + EWMA),95%,14406254.883041,19888904.479405,0.38,250,15,12.5,0.481239,Yes,0.280259,Green,15446400.904505,19528411.534948,1.209436
Parametric (t + EWMA),97%,17142605.877622,22707803.081404,0.38,250,11,7.5,0.224309,Yes,0.494149,Green,17959339.319958,22342452.931828,1.188877
Parametric (t + EWMA),99%,23069950.383638,29002969.26183,0.38,250,4,2.5,0.380484,Yes,0.042706,Green,26949682.468437,36911686.77605,1.365917
