date,method,confidence,window_start,window_days,var_usd,es_usd,actual_pnl_usd,breach
2025-01-02,Historical,0.95,2020-02-03,1237,22118712.700058512,36403838.486776665,-1831578.6622955624,False
2025-01-02,Historical,0.97,2020-02-03,1237,29207079.84068013,43519688.85071569,-1831578.6622955624,False
2025-01-02,Historical,0.99,2020-02-03,1237,42908787.695353866,59973703.98812871,-1831578.6622955624,False
2025-01-02,Parametric (Normal),0.95,2020-02-03,1237,24230968.695282362,30683288.36545519,-1831578.6622955624,False
2025-01-02,Parametric (Normal),0.97,2020-02-03,1237,27874206.064508207,33854208.99430111,-1831578.6622955624,False
2025-01-02,Parametric (Normal),0.99,2020-02-03,1237,34754175.89095517,39986737.70499517,-1831578.6622955624,False
2025-01-02,Monte Carlo (Student-t),0.95,2020-02-03,1237,20520007.57158771,33958324.67028188,-1831578.6622955624,False
2025-01-02,Monte Carlo (Student-t),0.97,2020-02-03,1237,25701831.77982489,41385336.01387682,-1831578.6622955624,False
2025-01-02,Monte Carlo (Student-t),0.99,2020-02-03,1237,40880256.12999744,61024148.788038805,-1831578.6622955624,False
2025-01-03,Historical,0.95,2020-02-03,1238,22113512.92736623,36403838.486776665,13765448.811572822,False
2025-01-03,Historical,0.97,2020-02-03,1238,29190642.69830421,43519688.85071569,13765448.811572822,False
2025-01-03,Historical,0.99,2020-02-03,1238,42895341.45749876,59973703.98812871,13765448.811572822,False
2025-01-03,Parametric (Normal),0.95,2020-02-03,1238,24223510.31575893,30673319.7712312,13765448.811572822,False
2025-01-03,Parametric (Normal),0.97,2020-02-03,1238,27865330.3175155,33843006.783024065,13765448.811572822,False
2025-01-03,Parametric (Normal),0.99,2020-02-03,1238,34742623.555963024,39973149.690703385,13765448.811572822,False
2025-01-03,Monte Carlo (Student-t),0.95,2020-02-03,1238,20824345.42919637,33582796.93769243,13765448.811572822,False
2025-01-03,Monte Carlo (Student-t),0.97,2020-02-03,1238,25686639.929607272,40572029.56503573,13765448.811572822,False
2025-01-03,Monte Carlo (Student-t),0.99,2020-02-03,1238,38969213.03549507,59663005.81668141,13765448.811572822,False
2025-01-06,Historical,0.95,2020-02-06,1236,22123912.472750768,36403838.486776665,8138870.700710628,False
2025-01-06,Historical,0.97,2020-02-06,1236,29223516.983055927,43519688.85071569,8138870.700710628,False
