ticker,status,reason,first_price,filled_gaps,max_abs_daily_return,flag
AAPL,included,,2020-01-02,0,0.1533,
NVDA,included,,2020-01-02,0,0.2437,
MSFT,included,,2020-01-02,0,0.1474,
AMZN,included,,2020-01-02,0,0.1405,
GOOGL,included,,2020-01-02,0,0.1163,
META,included,,2020-01-02,0,0.2639,daily move above 25% - verify corporate actions
TSLA,included,,2020-01-02,0,0.2269,
AVGO,included,,2020-01-02,0,0.2443,
BRK-B,included,,2020-01-02,0,0.1161,
WMT,included,,2020-01-02,0,0.1171,
LLY,included,,2020-01-02,0,0.1568,
JPM,included,,2020-01-02,0,0.1801,
V,included,,2020-01-02,0,0.1384,
MA,included,,2020-01-02,0,0.1661,
ORCL,included,,2020-01-02,0,0.3595,daily move above 25% - verify corporate actions
XOM,included,,2020-01-02,0,0.1269,
UNH,included,,2020-01-02,0,0.2238,
COST,included,,2020-01-02,0,0.1245,
PG,included,,2020-01-02,0,0.1201,
HD,included,,2020-01-02,0,0.1979,
NFLX,included,,2020-01-02,0,0.3512,daily move above 25% - verify corporate actions
JNJ,included,,2020-01-02,0,0.08,
BAC,included,,2020-01-02,0,0.178,
CRM,included,,2020-01-02,0,0.2604,daily move above 25% - verify corporate actions
ABBV,included,,2020-01-02,0,0.13,
KO,included,,2020-01-02,0,0.0967,
TMUS,included,,2020-01-02,0,0.1178,
CVX,included,,2020-01-02,0,0.2274,
MRK,included,,2020-01-02,0,0.0986,
WFC,included,,2020-01-02,0,0.1587,
CSCO,included,,2020-01-02,0,0.1373,
ACN,included,,2020-01-02,0,0.1286,
NOW,included,,2020-01-02,0,0.1549,
MS,included,,2020-01-02,0,0.1977,
AXP,included,,2020-01-02,0,0.2188,
IBM,included,,2020-01-02,0,0.1296,
PEP,included,,2020-01-02,0,0.1294,
MCD,included,,2020-01-02,0,0.1813,
LIN,included,,2020-01-02,0,0.1169,
DIS,included,,2020-01-02,0,0.1441,
PLTR,dropped,insufficient history (first price 2020-09-30),2020-09-30,0,,
TMO,included,,2020-01-02,0,0.1047,
ABT,included,,2020-01-02,0,0.1094,
AMD,included,,2020-01-02,0,0.2382,
ISRG,included,,2020-01-02,0,0.1744,
GS,included,,2020-01-02,0,0.1758,
PM,included,,2020-01-02,0,0.1245,
ADBE,included,,2020-01-02,0,0.1772,
GE,included,,2020-01-02,0,0.1516,
INTU,included,,2020-01-02,0,0.2008,
CAT,included,,2020-01-02,0,0.1428,
QCOM,included,,2020-01-02,0,0.1522,
TXN,included,,2020-01-02,0,0.1609,
VZ,included,,2020-01-02,0,0.0927,
T,included,,2020-01-02,0,0.1041,
BKNG,included,,2020-01-02,0,0.1875,
BLK,included,,2020-01-02,0,0.1365,
SPGI,included,,2020-01-02,0,0.1519,
RTX,included,,2020-01-02,0,0.1576,
C,included,,2020-01-02,0,0.193,
DHR,included,,2020-01-02,0,0.0988,
PGR,included,,2020-01-02,0,0.1312,
LOW,included,,2020-01-02,0,0.2477,
AMGN,included,,2020-01-02,0,0.1182,
SCHW,included,,2020-01-02,0,0.1913,
UNP,included,,2020-01-02,0,0.1303,
NEE,included,,2020-01-02,0,0.1369,
HON,included,,2020-01-02,0,0.1507,
PFE,included,,2020-01-02,0,0.1086,
ETN,included,,2020-01-02,0,0.2326,
AMAT,included,,2020-01-02,0,0.2036,
CMCSA,included,,2020-01-02,0,0.1256,
UBER,included,,2020-01-02,0,0.3826,daily move above 25% - verify corporate actions
COP,included,,2020-01-02,0,0.2521,daily move above 25% - verify corporate actions
SYK,included,,2020-01-02,0,0.1339,
TJX,included,,2020-01-02,0,0.204,
BSX,included,,2020-01-02,0,0.1479,
KKR,included,,2020-01-02,0,0.1805,
ADP,included,,2020-01-02,0,0.1525,
ANET,included,,2020-01-02,0,0.2235,
GEV,dropped,insufficient history (first price 2024-03-27),2024-03-27,0,,
FISV,included,,2020-01-02,1,0.4404,daily move above 25% - verify corporate actions
PANW,included,,2020-01-02,0,0.2844,daily move above 25% - verify corporate actions
MU,included,,2020-01-02,0,0.1982,
BX,included,,2020-01-02,0,0.1663,
VRTX,included,,2020-01-02,0,0.207,
GILD,included,,2020-01-02,0,0.1292,
LMT,included,,2020-01-02,0,0.1276,
BMY,included,,2020-01-02,0,0.1144,
SBUX,included,,2020-01-02,0,0.245,
MDT,included,,2020-01-02,0,0.1282,
ADI,included,,2020-01-02,0,0.1839,
CB,included,,2020-01-02,0,0.1677,
MRSH,included,,2020-01-02,0,0.1335,
PLD,included,,2020-01-02,0,0.1727,
INTC,included,,2020-01-02,0,0.2606,daily move above 25% - verify corporate actions
UPS,included,,2020-01-02,0,0.1438,
DE,included,,2020-01-02,0,0.1407,
LRCX,included,,2020-01-02,0,0.2031,
ELV,included,,2020-01-02,0,0.1713,
SO,included,,2020-01-02,0,0.1877,
MO,included,,2020-01-02,0,0.1003,
AMT,not used,universe already full,,0,,
KLAC,not used,universe already full,,0,,
CI,not used,universe already full,,0,,
APH,not used,universe already full,,0,,
SHW,not used,universe already full,,0,,
ICE,not used,universe already full,,0,,
NKE,not used,universe already full,,0,,
DUK,not used,universe already full,,0,,
ABNB,not used,universe already full,,0,,
PH,not used,universe already full,,0,,
CME,not used,universe already full,,0,,
EQIX,not used,universe already full,,0,,
MDLZ,not used,universe already full,,0,,
WM,not used,universe already full,,0,,
PYPL,not used,universe already full,,0,,
CRWD,not used,universe already full,,0,,
TT,not used,universe already full,,0,,
MCO,not used,universe already full,,0,,
