date,method,confidence,var_usd,es_usd,actual_loss_usd,excess_over_var_usd
2025-01-10,Parametric (t + EWMA),0.95,14360349.61,19520855.75,14908355.01,548005.39
2025-01-27,Parametric (t + EWMA),0.95,14532435.03,19767231.16,17390988.87,2858553.84
2025-01-27,Parametric (t + EWMA),0.97,17224495.0,22431561.48,17390988.87,166493.87
2025-02-21,Parametric (t + EWMA),0.95,11786282.2,16206949.86,17764603.57,5978321.37
2025-02-21,Parametric (t + EWMA),0.97,14052995.32,18459205.06,17764603.57,3711608.26
2025-02-27,Monte Carlo (Student-t),0.95,18999095.61,27276564.72,19288541.34,289445.73
2025-02-27,Parametric (t + EWMA),0.95,12576208.43,17206152.95,19288541.34,6712332.91
2025-02-27,Parametric (t + EWMA),0.97,14951571.78,19564570.73,19288541.34,4336969.56
2025-03-03,Historical,0.95,19401932.37,29393350.77,21536604.52,2134672.15
2025-03-03,Monte Carlo (Student-t),0.95,19747668.57,28072117.38,21536604.52,1788935.95
2025-03-03,Parametric (Normal),0.95,20210492.33,25669502.68,21536604.52,1326112.18
2025-03-03,Parametric (t + EWMA),0.95,15325127.48,20866578.88,21536604.52,6211477.03
2025-03-03,Parametric (t + EWMA),0.97,18171476.84,23688156.7,21536604.52,3365127.67
2025-03-06,Historical,0.95,19545418.45,29427650.31,19897150.25,351731.8
2025-03-06,Monte Carlo (Student-t),0.95,19569210.03,26875474.56,19897150.25,327940.22
2025-03-06,Parametric (t + EWMA),0.95,16977811.43,23051603.56,19897150.25,2919338.82
2025-03-10,Historical,0.95,19875651.09,29428228.25,34201288.02,14325636.93
2025-03-10,Historical,0.97,24450183.93,34349950.18,34201288.02,9751104.09
2025-03-10,Monte Carlo (Student-t),0.95,19766754.3,27480512.68,34201288.02,14434533.72
2025-03-10,Monte Carlo (Student-t),0.97,23928064.26,31381219.28,34201288.02,10273223.76
2025-03-10,Monte Carlo (Student-t),0.99,31170956.23,40053047.82,34201288.02,3030331.79
2025-03-10,Parametric (Normal),0.95,20045330.08,25436836.04,34201288.02,14155957.94
2025-03-10,Parametric (Normal),0.97,23089589.66,28086431.58,34201288.02,11111698.36
2025-03-10,Parametric (Normal),0.99,28838436.62,33210722.81,34201288.02,5362851.4
2025-03-10,Parametric (t + EWMA),0.95,17729053.05,24008791.21,34201288.02,16472234.97
2025-03-10,Parametric (t + EWMA),0.97,20960317.38,27204333.04,34201288.02,13240970.64
2025-03-10,Parametric (t + EWMA),0.99,27743070.08,34111366.38,34201288.02,6458217.94
2025-03-28,Historical,0.95,19870276.3,29380590.97,22302401.99,2432125.69
2025-03-28,Monte Carlo (Student-t),0.95,18845804.26,26617971.2,22302401.99,3456597.73
2025-03-28,Parametric (Normal),0.95,19985932.04,25345275.17,22302401.99,2316469.95
2025-03-28,Parametric (t + EWMA),0.95,19924648.08,26884539.08,22302401.99,2377753.91
2025-04-03,Historical,0.95,19870276.3,29246836.87,52480410.36,32610134.06
2025-04-03,Historical,0.97,24171849.12,33842603.92,52480410.36,28308561.24
2025-04-03,Historical,0.99,35150543.18,43062342.9,52480410.36,17329867.18
2025-04-03,Monte Carlo (Student-t),0.95,19586103.3,26429869.8,52480410.36,32894307.06
2025-04-03,Monte Carlo (Student-t),0.97,22852543.43,30010805.54,52480410.36,29627866.94
2025-04-03,Monte Carlo (Student-t),0.99,30602654.13,38604236.22,52480410.36,21877756.23
2025-04-03,Parametric (Normal),0.95,19896877.22,25235644.94,52480410.36,32583533.14
2025-04-03,Parametric (Normal),0.97,22911358.69,27859322.87,52480410.36,29569051.67
2025-04-03,Parametric (Normal),0.99,28603972.0,32933489.68,52480410.36,23876438.36
2025-04-03,Parametric (t + EWMA),0.95,19511293.91,26332938.28,52480410.36,32969116.45
2025-04-03,Parametric (t + EWMA),0.97,23027084.02,29802285.77,52480410.36,29453326.34
2025-04-03,Parametric (t + EWMA),0.99,30394466.93,37287798.14,52480410.36,22085943.43
2025-04-04,Historical,0.95,19920950.97,29772373.32,60261729.35,40340778.38
2025-04-04,Historical,0.97,24423131.97,34587490.32,60261729.35,35838597.38
2025-04-04,Historical,0.99,35757475.08,44394639.96,60261729.35,24504254.26
2025-04-04,Monte Carlo (Student-t),0.95,19385857.01,27271935.01,60261729.35,40875872.33
2025-04-04,Monte Carlo (Student-t),0.97,23392406.92,31353278.9,60261729.35,36869322.43
2025-04-04,Monte Carlo (Student-t),0.99,32223921.99,40320715.0,60261729.35,28037807.36
2025-04-04,Parametric (Normal),0.95,20080731.71,25455198.38,60261729.35,40180997.63
2025-04-04,Parametric (Normal),0.97,23115370.23,28096420.15,60261729.35,37146359.12
2025-04-04,Parametric (Normal),0.99,28846048.55,33204516.59,60261729.35,31415680.79
2025-04-04,Parametric (t + EWMA),0.95,27754639.61,37460356.7,60261729.35,32507089.74
2025-04-04,Parametric (t + EWMA),0.97,32724213.36,42407677.6,60261729.35,27537515.98
2025-04-04,Parametric (t + EWMA),0.99,43210058.52,53158881.07,60261729.35,17051670.83
2025-04-10,Historical,0.95,20033442.24,30421495.51,38254549.77,18221107.53
2025-04-10,Historical,0.97,24574206.4,35530042.87,38254549.77,13680343.37
2025-04-10,Historical,0.99,37939820.17,46253754.04,38254549.77,314729.59
2025-04-10,Monte Carlo (Student-t),0.95,19310535.24,28061972.92,38254549.77,18944014.52
2025-04-10,Monte Carlo (Student-t),0.97,23563765.82,32636144.96,38254549.77,14690783.95
2025-04-10,Monte Carlo (Student-t),0.99,33236433.19,42542490.07,38254549.77,5018116.58
2025-04-10,Parametric (Normal),0.95,20877493.31,26451162.14,38254549.77,17377056.46
2025-04-10,Parametric (Normal),0.97,24024609.32,29190279.6,38254549.77,14229940.44
2025-04-10,Parametric (Normal),0.99,29967692.64,34487705.32,38254549.77,8286857.12
2025-04-16,Historical,0.95,20102987.52,30714547.8,27837220.22,7734232.7
2025-04-16,Historical,0.97,24647309.47,35889872.58,27837220.22,3189910.75
2025-04-16,Monte Carlo (Student-t),0.95,19686142.42,28675273.0,27837220.22,8151077.8
2025-04-16,Monte Carlo (Student-t),0.97,23261111.28,33500256.47,27837220.22,4576108.94
2025-04-16,Parametric (Normal),0.95,20941769.88,26530622.29,27837220.22,6895450.34
2025-04-16,Parametric (Normal),0.97,24097459.15,29277201.55,27837220.22,3739761.07
2025-04-21,Historical,0.95,20197391.51,30838628.11,26196032.65,5998641.14
2025-04-21,Historical,0.97,24885307.37,36273829.74,26196032.65,1310725.29
2025-04-21,Monte Carlo (Student-t),0.95,19774446.64,28034362.24,26196032.65,6421586.01
2025-04-21,Monte Carlo (Student-t),0.97,23917671.28,32399455.26,26196032.65,2278361.37
2025-04-21,Parametric (Normal),0.95,20993751.0,26582210.37,26196032.65,5202281.65
2025-04-21,Parametric (Normal),0.97,24149218.35,29328596.48,26196032.65,2046814.3
2025-08-01,Parametric (t + EWMA),0.95,9472402.7,13139395.08,18076798.36,8604395.66
2025-08-01,Parametric (t + EWMA),0.97,11320777.93,15018574.22,18076798.36,6756020.42
2025-08-01,Parametric (t + EWMA),0.99,15284746.32,19171645.57,18076798.36,2792052.03
2025-10-10,Historical,0.95,19306269.61,28891447.19,27191539.21,7885269.6
2025-10-10,Historical,0.97,24117743.26,33779051.7,27191539.21,3073795.95
2025-10-10,Monte Carlo (Student-t),0.95,19373346.55,27632788.3,27191539.21,7818192.66
2025-10-10,Monte Carlo (Student-t),0.97,22801412.71,32110391.33,27191539.21,4390126.5
2025-10-10,Parametric (Normal),0.95,20038566.16,25389229.72,27191539.21,7152973.05
