date,method,t_df,ewma_sigma
2025-01-02,Parametric (t + EWMA),9.4651,0.0096
2025-01-02,Monte Carlo (Student-t),4.628,
2025-01-03,Parametric (t + EWMA),9.4531,0.0094
2025-01-03,Monte Carlo (Student-t),4.6274,
2025-01-06,Parametric (t + EWMA),9.4984,0.0097
2025-01-06,Monte Carlo (Student-t),4.6262,
2025-01-07,Parametric (t + EWMA),9.5097,0.0096
2025-01-07,Monte Carlo (Student-t),4.6262,
2025-01-08,Parametric (t + EWMA),9.5685,0.0099
2025-01-08,Monte Carlo (Student-t),4.6273,
2025-01-10,Parametric (t + EWMA),9.5513,0.0096
2025-01-10,Monte Carlo (Student-t),4.6267,
2025-01-13,Parametric (t + EWMA),9.6503,0.01
2025-01-13,Monte Carlo (Student-t),4.6285,
2025-01-14,Parametric (t + EWMA),9.6508,0.0097
2025-01-14,Monte Carlo (Student-t),4.6285,
2025-01-15,Parametric (t + EWMA),9.6548,0.0094
2025-01-15,Monte Carlo (Student-t),4.6284,
2025-01-16,Parametric (t + EWMA),9.6913,0.0106
2025-01-16,Monte Carlo (Student-t),4.6299,
2025-01-17,Parametric (t + EWMA),9.6933,0.0104
2025-01-17,Monte Carlo (Student-t),4.6296,
2025-01-21,Parametric (t + EWMA),9.7299,0.0105
2025-01-21,Monte Carlo (Student-t),4.6303,
2025-01-22,Parametric (t + EWMA),9.6965,0.0103
2025-01-22,Monte Carlo (Student-t),4.6287,
2025-01-23,Parametric (t + EWMA),9.6916,0.0102
2025-01-23,Monte Carlo (Student-t),4.6283,
2025-01-24,Parametric (t + EWMA),9.6765,0.01
2025-01-24,Monte Carlo (Student-t),4.6277,
2025-01-27,Parametric (t + EWMA),9.5845,0.0097
2025-01-27,Monte Carlo (Student-t),4.617,
2025-01-28,Parametric (t + EWMA),9.6193,0.0103
2025-01-28,Monte Carlo (Student-t),4.6104,
2025-01-29,Parametric (t + EWMA),9.6593,0.0107
2025-01-29,Monte Carlo (Student-t),4.6114,
2025-01-30,Parametric (t + EWMA),9.6563,0.0104
2025-01-30,Monte Carlo (Student-t),4.611,
2025-01-31,Parametric (t + EWMA),9.6398,0.0102
2025-01-31,Monte Carlo (Student-t),4.6104,
2025-02-03,Parametric (t + EWMA),9.596,0.0099
2025-02-03,Monte Carlo (Student-t),4.6028,
2025-02-04,Parametric (t + EWMA),9.5752,0.0099
2025-02-04,Monte Carlo (Student-t),4.5985,
2025-02-05,Parametric (t + EWMA),9.5408,0.0098
2025-02-05,Monte Carlo (Student-t),4.5922,
2025-02-06,Parametric (t + EWMA),9.4854,0.0096
2025-02-06,Monte Carlo (Student-t),4.5868,
2025-02-07,Parametric (t + EWMA),9.4662,0.0093
2025-02-07,Monte Carlo (Student-t),4.585,
2025-02-10,Parametric (t + EWMA),9.5031,0.0095
2025-02-10,Monte Carlo (Student-t),4.5842,
2025-02-11,Parametric (t + EWMA),9.4646,0.0094
2025-02-11,Monte Carlo (Student-t),4.5766,
2025-02-12,Parametric (t + EWMA),9.406,0.0091
