Method,Confidence,Avg VaR ($),Avg ES ($),"Runtime, all days (s)",Test days,Breaches,Expected breaches,Kupiec p-value,Breach count OK (p>=0.05),Clustering p-value,Basel zone,Avg ES on breach days ($),Avg loss on breach days ($),Actual loss / forecast ES
Historical,95%,19942403.248295,30375877.703602,0.09,250,10,12.5,0.452912,Yes,0.400925,Green,29751514.91031,33015892.633135,1.110302
Historical,97%,24997072.32588,35542680.397529,0.09,250,7,7.5,0.851323,Yes,0.174345,Green,34893263.043919,38060395.653602,1.095451
Historical,99%,36970858.199166,45915244.015263,0.09,250,3,2.5,0.757988,Yes,0.019848,Green,44570245.633471,50332229.824421,1.134392
Monte Carlo (Student-t),95%,19774952.030207,28670420.025935,5.75,250,11,12.5,0.657056,Yes,0.494149,Green,27493531.072546,31767951.60662,1.158625
Monte Carlo (Student-t),97%,23944539.049864,33335674.708053,5.75,250,7,7.5,0.851323,Yes,0.174345,Green,31913078.821165,38060395.653602,1.202723
Monte Carlo (Student-t),99%,33513329.260356,44369971.624547,5.75,250,4,2.5,0.380484,Yes,0.042706,Green,40380122.278181,46299494.37349,1.151779
Parametric (Normal),95%,20870539.18346,26442865.131224,0.15,250,9,12.5,0.286022,Yes,0.315776,Green,25788409.081934,34473530.675828,1.340269
Parametric (Normal),97%,24016896.953092,29181322.647534,0.15,250,7,7.5,0.851323,Yes,0.174345,Green,28551000.852904,38060395.653602,1.338758
Parametric (Normal),99%,29958548.381333,34477472.033619,0.15,250,4,2.5,0.380484,Yes,0.042706,Green,33459108.599705,46299494.37349,1.386861
Parametric (t + EWMA),95%,17583578.675056,24044796.47668,0.39,250,16,12.5,0.329374,Yes,0.976268,Green,19833742.961852,23593346.167694,1.189629
Parametric (t + EWMA),97%,20856608.528047,27350349.124926,0.39,250,10,7.5,0.377293,Yes,0.400925,Green,22881634.226438,28383705.474506,1.248913
Parametric (t + EWMA),99%,27839604.127862,34617692.098605,0.39,250,5,2.5,0.161855,Yes,0.075742,Yellow,31666792.645538,38442353.059099,1.269695
