ticker,shares,source,as_of,close,market_cap,weight
AAPL,15115799552.0,historical,2024-12-31,250.4199981689453,3785298496133.9844,0.0987810164854102
NVDA,25413099520.0,historical,2024-12-31,134.2899932861328,3412724963920.625,0.08905835068635014
MSFT,7434880000.0,historical,2024-12-31,421.5,3133801920000.0,0.08177958473755538
AMZN,10515000320.0,historical,2024-12-31,219.38999938964844,2306885913786.953,0.06020041370911312
GOOGL,12274299904.0,historical,2024-12-31,189.3000030517578,2323525009285.3906,0.060634626960303785
META,2524489984.0,historical,2024-12-31,585.510009765625,1478114155185.0625,0.038572815031569355
TSLA,3210060032.0,historical,2024-12-31,403.8399963378906,1296350631567.289,0.033829520509018184
AVGO,4687360000.0,historical,2024-12-31,231.83999633789065,1086717525234.3751,0.028358942335669723
BRK-B,2157629952.0,historical,2024-12-31,453.2799987792969,978010502008.7344,0.025522127679097974
WMT,8093899776.0,historical,2024-12-31,90.3499984741211,731283832411.2891,0.01908355718279835
LLY,899315968.0,historical,2024-12-31,772.0,694271927296.0,0.018117695808039177
JPM,2815340032.0,historical,2024-12-31,239.7100067138672,674865177972.5391,0.01761125795992577
V,1936470016.0,historical,2024-12-31,316.0400085449219,612002000403.625,0.015970782688001433
MA,917830976.0,historical,2024-12-31,526.5700073242188,483302263754.71484,0.01261223888476686
ORCL,2796960000.0,historical,2024-12-31,166.63999938964844,466085412692.8711,0.012162948544704167
XOM,4395089920.0,historical,2024-12-31,107.56999969482422,472779821353.125,0.012337645597764579
UNH,920284032.0,historical,2024-12-31,505.8599853515625,465534866946.7969,0.01214858152226869
COST,443899008.0,historical,2024-12-31,916.27001953125,406731352730.0625,0.010614047082468018
PG,2355040000.0,historical,2024-12-31,167.64999389648438,394822441625.97656,0.010303272556945802
HD,993363008.0,historical,2024-12-31,388.989990234375,386408266781.1094,0.010083696545988983
NFLX,427457984.0,historical,2024-12-31,89.13200378417969,38100186647.46582,0.0009942611313650312
JNJ,2407620096.0,historical,2024-12-31,144.6199951171875,348190006527.5625,0.009086354169950461
BAC,7672880128.0,historical,2024-12-31,43.95000076293945,337223087479.54297,0.008800161836008236
CRM,957000000.0,historical,2024-12-31,334.3299865722656,319953797149.6582,0.008349503042650213
ABBV,1767139968.0,historical,2024-12-31,177.6999969482422,314020766920.7168,0.00819467489436757
KO,4307800064.0,historical,2024-12-31,62.2599983215332,268203624754.14062,0.006999032363060378
TMUS,1160489984.0,historical,2024-12-31,220.72999572753903,256154949210.17184,0.006684610549628307
CVX,1782919936.0,historical,2024-12-31,144.83999633789062,258238117000.9922,0.006738972823065148
MRK,2529639936.0,historical,2024-12-31,99.4800033569336,251648589325.11328,0.006567012740485964
WFC,3329489920.0,historical,2024-12-31,70.23999786376953,233863364868.2422,0.006102890148287434
CSCO,3998360064.0,historical,2024-12-31,59.20000076293945,236702918839.30664,0.006176991048893662
ACN,625480000.0,historical,2024-12-31,351.7900085449219,220037614544.67773,0.00574209385387894
NOW,206316992.0,historical,2024-12-31,212.0240020751953,43744154339.956055,0.0011415459138582496
MS,1611040000.0,historical,2024-12-31,125.72000122070312,202539950766.60156,0.005285475435045234
AXP,704444992.0,historical,2024-12-31,296.7900085449219,209072235195.10742,0.005455941699853319
IBM,924644992.0,historical,2024-12-31,219.8300018310547,203264710284.43555,0.005304388733944181
PEP,1371990016.0,historical,2024-12-31,152.05999755859375,208624798483.375,0.0054442654071532965
MCD,716620032.0,historical,2024-12-31,289.8900146484375,207740991573.84375,0.005421201613111825
LIN,476158016.0,historical,2024-12-31,418.6700134277344,199353082952.44336,0.005202311044599222
DIS,1810940032.0,historical,2024-12-31,111.3499984741211,201648169799.9248,0.005262203550288815
TMO,382500000.0,historical,2024-12-31,520.22998046875,198987967529.29688,0.005192783005352187
ABT,1734460032.0,historical,2024-12-31,113.11000061035156,196184775278.1504,0.005119630998910665
AMD,1622809984.0,historical,2024-12-31,120.79000091552734,196019219453.0869,0.0051153106599198155
ISRG,356179008.0,historical,2024-12-31,521.9600219726562,185911202841.8789,0.00485153221377447
GS,313910016.0,historical,2024-12-31,572.6199951171875,179751151829.15625,0.004690779739099039
PM,1554829952.0,historical,2024-12-31,120.3499984741211,187123782350.71777,0.004883175646009686
ADBE,444168000.0,historical,2024-12-31,444.6799926757813,197512622986.81644,0.005154282466036393
GE,1082290048.0,historical,2024-12-31,166.7899932861328,180515149839.56836,0.004710717004320901
INTU,279916992.0,historical,2024-12-31,628.5,175927829472.0,0.004591006453273096
CAT,482801984.0,historical,2024-12-31,362.760009765625,175141252430.70312,0.0045704799664550155
QCOM,1120109952.0,historical,2024-12-31,153.6199951171875,172071285356.95312,0.004490366213621128
TXN,912217024.0,historical,2024-12-31,187.50999450683597,171049809159.28226,0.004463709806676039
VZ,4209629952.0,historical,2024-12-31,39.9900016784668,168343108846.2041,0.0043930758504582374
T,7175289856.0,historical,2024-12-31,22.770000457763672,163381353305.70703,0.004263594052300709
BKNG,33096700.0,historical,2024-12-31,198.7368011474609,6577532286.537169,0.00017164705132061215
BLK,154879008.0,historical,2024-12-31,1025.1099853515625,158768017622.14453,0.0041432046064812725
SPGI,310300000.0,historical,2024-12-31,471.1731262207031,146205021066.28418,0.0038153610900034988
RTX,1331020032.0,historical,2024-12-31,115.72000122070312,154025639727.8203,0.004019447679666192
C,1891260032.0,historical,2024-12-31,70.38999938964844,133125792498.14648,0.0034740460010811358
DHR,722275008.0,historical,2024-12-31,229.5500030517578,165798230290.6084,0.00432666478913496
PGR,585811008.0,historical,2024-12-31,239.6100006103516,140366175984.4307,0.0036629907940082447
LOW,569620992.0,historical,2024-12-31,246.8000030517578,140582462563.9453,0.0036686350009838445
AMGN,537532992.0,historical,2024-12-31,260.6400146484375,140102606908.89844,0.003656112704678754
SCHW,1830560000.0,historical,2024-12-31,74.01000213623047,135479749510.49805,0.0035354747805236373
UNP,606257024.0,historical,2024-12-31,228.0399932861328,138250847682.63086,0.0036077892610074645
NEE,2056400000.0,historical,2024-12-31,71.69000244140625,147423321020.5078,0.0038471538027803776
HON,650246976.0,historical,2024-12-31,223.28570556640625,145190854828.58203,0.0037888954435167767
PFE,5666990080.0,historical,2024-12-31,26.530000686645508,150345250713.61328,0.003923404377333123
ETN,396156992.0,historical,2024-12-31,331.8699951171875,131472619000.67969,0.0034309048436074793
AMAT,813684992.0,historical,2024-12-31,162.6300048828125,132329594222.03125,0.003453268438857464
CMCSA,3826540032.0,historical,2024-12-31,35.17338180541992,134592353539.25977,0.00351231732645403
UBER,2105709952.0,historical,2024-12-31,60.31999969482422,127016423662.02832,0.003314616126704677
COP,1293560064.0,historical,2024-12-31,99.16999816894533,128282349178.3008,0.0033476516744745367
SYK,381216000.0,historical,2024-12-31,360.04998779296875,137256816146.48438,0.0035818490489847167
TJX,1124160000.0,historical,2024-12-31,120.80999755859376,135809766855.46877,0.003544086901556448
BSX,1473830016.0,historical,2024-12-31,89.31999969482422,131642496579.34277,0.0034353379629283357
KKR,922798016.0,historical,2024-12-31,147.91000366210938,136491057925.94727,0.0035618658493813114
ADP,407456992.0,historical,2024-12-31,292.7300109863281,119274889744.61621,0.003112593329744471
ANET,1259760000.0,historical,2024-12-31,110.52999877929688,139241271262.20703,0.0036336353199223886
FISV,531766721.0,current (fallback - look-ahead approximation),2024-12-31,205.4199981689453,109235518854.12605,0.0028506062599137822
PANW,656200000.0,historical,2024-12-31,181.9600067138672,119402156405.63965,0.0031159144760565622
MU,1114169984.0,historical,2024-12-31,84.16000366210938,93768549933.65234,0.002446980782696315
BX,1212880000.0,historical,2024-12-31,172.4199981689453,209124767379.1504,0.00545731257788137
VRTX,257528992.0,historical,2024-12-31,402.7000122070313,103706928222.06447,0.0027063323531335047
GILD,1246269952.0,historical,2024-12-31,92.37000274658205,115117958889.22267,0.003004114208276317
LMT,237035008.0,historical,2024-12-31,485.9400024414063,115184792366.21877,0.0030058582923425197
BMY,2028179968.0,historical,2024-12-31,56.560001373291016,114713861775.36133,0.002993568904198762
SBUX,1133799936.0,historical,2024-12-31,91.25,103459244160.0,0.0026998687985570423
